0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/css/960_24_col.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/css/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/angularjs/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/angularjs/module/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/angularjs/controller/controllerjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/headerstrip.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/logotitle.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/adminmenustrip.jsp HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:24 +0530] "GET /Traning_Management/footer.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:25 +0530] "GET /Traning_Management/sessioncreate.jsp HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/adminindex.jsp?technology=java HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/css/960_24_col.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/css/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/angularjs/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/angularjs/module/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/angularjs/controller/controllerjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/headerstrip.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/logotitle.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/adminmenustrip.jsp HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/footer.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:38 +0530] "GET /Traning_Management/sessioncreate.jsp HTTP/1.1" 200 7777
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/adminindex.jsp?technology=java HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/css/960_24_col.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/css/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/angularjs/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/angularjs/module/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:09:50 +0530] "GET /Traning_Management/angularjs/controller/controllerjs.js HTTP/1.1" 304 -
